Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
BSW3S_USDT,BSW3S/USDT,BSW3S,USDT,True,Spot,,,1.0
BTC_USDT,BTC/USDT,BTC,USDT,True,Spot,Margin,,1.0
BTC3L_USDT,BTC3L/USDT,BTC3L,USDT,True,Spot,,,1.0
BTC3S_USDT,BTC3S/USDT,BTC3S,USDT,True,Spot,,,1.0
BTC5L_USDT,BTC5L/USDT,BTC5L,USDT,True,Spot,,,1.0
BTC5S_USDT,BTC5S/USDT,BTC5S,USDT,True,Spot,,,1.0
BTCST_USDT,BTCST/USDT,BTCST,USDT,True,Spot,Margin,,1.0
BTF_USDT,BTF/USDT,BTF,USDT,True,Spot,,,1.0
BTG_USDT,BTG/USDT,BTG,USDT,True,Spot,,,1.0
BTL_USDT,BTL/USDT,BTL,USDT,True,Spot,,,1.0
BTM_USDT,BTM/USDT,BTM,USDT,True,Spot,Margin,,1.0
BTM3L_USDT,BTM3L/USDT,BTM3L,USDT,True,Spot,,,1.0
BTM3S_USDT,BTM3S/USDT,BTM3S,USDT,True,Spot,,,1.0
BTO_USDT,BTO/USDT,BTO,USDT,True,Spot,,,1.0
BTRST_USDT,BTRST/USDT,BTRST,USDT,True,Spot,,,1.0
BTS_USDT,BTS/USDT,BTS,USDT,True,Spot,Margin,,1.0
BTT_USDT,BTT/USDT,BTT,USDT,True,Spot,Margin,,1.0
BU_USDT,BU/USDT,BU,USDT,False,Spot,,,1.0
BTCBULL_USDT,BULL/USDT,BULL,USDT,True,Spot,,,1.0
BURP_USDT,BURP/USDT,BURP,USDT,True,Spot,,,1.0
BUSY_USDT,BUSY/USDT,BUSY,USDT,True,Spot,,,1.0
BUY_USDT,BUY/USDT,BUY,USDT,True,Spot,,,1.0
BXC_USDT,BXC/USDT,BXC,USDT,True,Spot,,,1.0
BXH_USDT,BXH/USDT,BXH,USDT,True,Spot,,,1.0
BZRX_USDT,BZRX/USDT,BZRX,USDT,False,Spot,Margin,,1.0
BZZ_USDT,BZZ/USDT,BZZ,USDT,True,Spot,Margin,,1.0
BZZ3L_USDT,BZZ3L/USDT,BZZ3L,USDT,True,Spot,,,1.0
BZZ3S_USDT,BZZ3S/USDT,BZZ3S,USDT,True,Spot,,,1.0
BYN_USDT,BeyondFi/USDT,BeyondFi,USDT,True,Spot,,,1.0
BIFI_USDT,Bitcoin File/USDT,Bitcoin File,USDT,True,Spot,,,1.0
C98_USDT,C98/USDT,C98,USDT,True,Spot,Margin,,1.0
C983L_USDT,C983L/USDT,C983L,USDT,True,Spot,,,1.0
C983S_USDT,C983S/USDT,C983S,USDT,True,Spot,,,1.0
CAKE_USDT,CAKE/USDT,CAKE,USDT,True,Spot,Margin,,1.0
CAKE3L_USDT,CAKE3L/USDT,CAKE3L,USDT,True,Spot,,,1.0
CAKE3S_USDT,CAKE3S/USDT,CAKE3S,USDT,True,Spot,,,1.0
