Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
FAIR-USDT,FAIR/USDT,FAIR,USDT,True,Spot,,,1.0
FAME-USDT,FAME/USDT,FAME,USDT,True,Spot,,,1.0
FIL-USDT,FIL/USDT,FIL,USDT,True,Spot,Margin,,1.0
FITFI-USDT,FITFI/USDT,FITFI,USDT,True,Spot,Margin,,1.0
FLM-USDT,FLM/USDT,FLM,USDT,True,Spot,Margin,,1.0
FLOW-USDT,FLOW/USDT,FLOW,USDT,True,Spot,Margin,,1.0
FODL-USDT,FODL/USDT,FODL,USDT,True,Spot,,,1.0
FORTH-USDT,FORTH/USDT,FORTH,USDT,True,Spot,,,1.0
FRONT-USDT,FRONT/USDT,FRONT,USDT,True,Spot,,,1.0
FSN-USDT,FSN/USDT,FSN,USDT,True,Spot,,,1.0
FTM-USDT,FTM/USDT,FTM,USDT,True,Spot,Margin,,1.0
GALA-USDT,GALA/USDT,GALA,USDT,True,Spot,Margin,,1.0
GARI-USDT,GARI/USDT,GARI,USDT,True,Spot,,,1.0
GAS-USDT,GAS/USDT,GAS,USDT,True,Spot,,,1.0
GF-USDT,GF/USDT,GF,USDT,True,Spot,,,1.0
GHST-USDT,GHST/USDT,GHST,USDT,True,Spot,,,1.0
GLM-USDT,GLM/USDT,GLM,USDT,True,Spot,,,1.0
GLMR-USDT,GLMR/USDT,GLMR,USDT,True,Spot,Margin,,1.0
GM-USDT,GM/USDT,GM,USDT,True,Spot,,,1.0
GMT-USDT,GMT/USDT,GMT,USDT,True,Spot,Margin,,1.0
GODS-USDT,GODS/USDT,GODS,USDT,True,Spot,Margin,,1.0
GOG-USDT,GOG/USDT,GOG,USDT,True,Spot,,,1.0
GRT-USDT,GRT/USDT,GRT,USDT,True,Spot,Margin,,1.0
GTO-USDT,GTO/USDT,GTO,USDT,True,Spot,,,1.0
GUSD-USDT,GUSD/USDT,GUSD,USDT,True,Spot,,,1.0
HBAR-USDT,HBAR/USDT,HBAR,USDT,True,Spot,Margin,,1.0
HC-USDT,HC/USDT,HC,USDT,True,Spot,Margin,,1.0
HDAO-USDT,HDAO/USDT,HDAO,USDT,True,Spot,,,1.0
HEGIC-USDT,HEGIC/USDT,HEGIC,USDT,True,Spot,,,1.0
HYC-USDT,HYC/USDT,HYC,USDT,True,Spot,,,1.0
ICP-USDT,ICP/USDT,ICP,USDT,True,Spot,Margin,,1.0
ICX-USDT,ICX/USDT,ICX,USDT,True,Spot,,,1.0
ILV-USDT,ILV/USDT,ILV,USDT,True,Spot,,,1.0
IMX-USDT,IMX/USDT,IMX,USDT,True,Spot,Margin,,1.0
INT-USDT,INT/USDT,INT,USDT,True,Spot,,,1.0
INX-USDT,INX/USDT,INX,USDT,True,Spot,,,1.0
IOST-USDT,IOST/USDT,IOST,USDT,True,Spot,Margin,,1.0
IOTA-USDT,IOTA/USDT,IOTA,USDT,True,Spot,Margin,,1.0
IQ-USDT,IQ/USDT,IQ,USDT,True,Spot,,,1.0
ITC-USDT,ITC/USDT,ITC,USDT,True,Spot,,,1.0
JFI-USDT,JFI/USDT,JFI,USDT,True,Spot,,,1.0
JOE-USDT,JOE/USDT,JOE,USDT,True,Spot,,,1.0
JST-USDT,JST/USDT,JST,USDT,True,Spot,Margin,,1.0
KAN-USDT,KAN/USDT,KAN,USDT,True,Spot,,,1.0
KAR-USDT,KAR/USDT,KAR,USDT,True,Spot,Margin,,1.0
KCASH-USDT,KCASH/USDT,KCASH,USDT,True,Spot,,,1.0
KDA-USDT,KDA/USDT,KDA,USDT,True,Spot,,,1.0
KINE-USDT,KINE/USDT,KINE,USDT,True,Spot,,,1.0
KLAY-USDT,KLAY/USDT,KLAY,USDT,True,Spot,,,1.0
KNC-USDT,KNC/USDT,KNC,USDT,True,Spot,Margin,,1.0
KOL-USDT,KOL/USDT,KOL,USDT,True,Spot,,,1.0
KONO-USDT,KONO/USDT,KONO,USDT,True,Spot,,,1.0
KP3R-USDT,KP3R/USDT,KP3R,USDT,True,Spot,,,1.0
KSM-USDT,KSM/USDT,KSM,USDT,True,Spot,Margin,,1.0
LAMB-USDT,LAMB/USDT,LAMB,USDT,True,Spot,Margin,,1.0
LAT-USDT,LAT/USDT,LAT,USDT,True,Spot,Margin,,1.0
LBA-USDT,LBA/USDT,LBA,USDT,True,Spot,,,1.0
